time,thermal_energy_output,cop,el_demand
2015-06-25 16:30:00,0.30590163250945457,3.304266980468749,0.09257775909683268
2015-06-25 16:45:00,0.3110614190819032,3.289265277734374,0.09456866285231955
2015-06-25 17:00:00,0.31622120565435186,3.274263574999999,0.09657781006660465
2015-06-25 17:15:00,0.320828157951181,3.2450766121093744,0.09886612746028062
2015-06-25 17:30:00,0.32543511024801014,3.2158896492187496,0.10119598174864909
2015-06-25 17:45:00,0.33004206254483925,3.1867026863281245,0.1035685142391272
2015-06-25 18:00:00,0.3346490148416684,3.1575157234374998,0.10598490843850662
2015-06-25 18:15:00,0.345337144170312,3.1241758363281247,0.11053703833014414
2015-06-25 18:30:00,0.35602527349895563,3.0908359492187496,0.11518737304351136
2015-06-25 18:45:00,0.3667134028275992,3.0574960621093745,0.11993912514628151
2015-06-25 19:00:00,0.3774015321562428,3.0241561749999994,0.12479564887426585
2015-06-25 19:15:00,0.3785072007074818,2.9768839964843745,0.12714879086806516
2015-06-25 19:30:00,0.37961286925872073,2.92961181796875,0.12957787339959798
2015-06-25 19:45:00,0.38071853780995973,2.882339639453125,0.13208663288625994
2015-06-25 20:00:00,0.38182420636119874,2.8350674609375,0.13467905495093124
2015-06-25 20:15:00,0.3678190713788382,2.808476389453125,0.13096747858024935
2015-06-25 20:30:00,0.3538139363964776,2.78188531796875,0.12718494688157098
2015-06-25 20:45:00,0.33980880141411707,2.755294246484375,0.12332940550639811
2015-06-25 21:00:00,0.3258036664317565,2.7287031749999997,0.11939872002815277
2015-06-25 21:15:00,0.3016632363963718,2.712360425,0.1112179759061231
2015-06-25 21:30:00,0.27752280636098714,2.696017675,0.10293805153224271
2015-06-25 21:45:00,0.25338237632560245,2.6796749249999996,0.09455713227066245
2015-06-25 22:00:00,0.22924194629021777,2.663332175,0.086073358945629
2015-06-25 22:15:00,0.1986517830392723,2.660302977734375,0.07467261612752561
2015-06-25 22:30:00,0.16806161978832684,2.65727378046875,0.06324588042963354
2015-06-25 22:45:00,0.1374714565373814,2.654244583203125,0.05179306285763678
2015-06-25 23:00:00,0.10688129328643595,2.6512153859375003,0.04031407401049066
2015-06-25 23:15:00,0.0869515710066656,2.6546493128906254,0.03275444729533211
2015-06-25 23:30:00,0.06702184872689526,2.65808323984375,0.025214352854816918
2015-06-25 23:45:00,0.04709212644712492,2.661517166796875,0.017693715086497114
2015-06-26 00:00:00,0.027162404167354576,2.66495109375,0.010192458777595371
2015-06-26 00:15:00,0.028638621785145583,2.6524960203125003,0.01079685758841273
2015-06-26 00:30:00,0.030114839402936595,2.640040946875,0.011406959213486192
2015-06-26 00:45:00,0.031591057020727606,2.6275858734375,0.012022844748894573
2015-06-26 01:00:00,0.033067274638518614,2.6151308,0.012644596835660615
2015-06-26 01:15:00,0.0314434352589485,2.587509946484375,0.0121520055610493
2015-06-26 01:30:00,0.02981959587937839,2.55988909296875,0.011648784301352704
