time,thermal_energy_output,efficiency,el_demand,thermal_energy_output,cop,el_demand,temperature
2015-01-01 00:00:00,0,,0,0,0,0,54.71674923286145
2015-01-01 00:15:00,0,,0,0,0,0,54.43443297867056
2015-01-01 00:30:00,0,,0,0,0,0,54.15304107459899
2015-01-01 00:45:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,54.7069907678099
2015-01-01 01:00:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,55.25277041896215
2015-01-01 01:15:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,55.7910819741617
2015-01-01 01:30:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,56.32200664895203
2015-01-01 01:45:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,56.8456247756576
2015-01-01 02:00:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,57.36201581298882
2015-01-01 02:15:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,57.86696667725267
2015-01-01 02:30:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,58.36060178033125
2015-01-01 02:45:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,58.84304418112745
2015-01-01 03:00:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,59.3144156002786
2015-01-01 03:15:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,59.76563998123155
2015-01-01 03:30:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,60.19693642302672
2015-01-01 03:45:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,60.608521642002444
2015-01-01 04:00:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,61.00060999770688
2015-01-01 04:15:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,61.34674380344039
2015-01-01 04:30:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,61.647422814933904
2015-01-01 04:45:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,61.90314135307479
2015-01-01 05:00:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,62.11438836301074
2015-01-01 05:15:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,62.283486763306705
2015-01-01 05:30:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,62.41089492009251
2015-01-01 05:45:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,62.497066214766335
2015-01-01 06:00:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,62.54244909820364
2015-01-01 06:15:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,62.599600380754936
2015-01-01 06:30:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,62.668392081079844
2015-01-01 06:45:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,62.74869760963509
2015-01-01 07:00:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,62.84039175353866
2015-01-01 07:15:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,62.93967208020724
2015-01-01 07:30:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,63.046456089903245
2015-01-01 07:45:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,63.16066218007377
2015-01-01 08:00:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,63.282209635593645
2015-01-01 08:15:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,63.40887277996971
2015-01-01 08:30:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,63.54059598008565
2015-01-01 08:45:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,63.6773242078353
2015-01-01 09:00:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,63.81900303354313
2015-01-01 09:15:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,63.96619171635493
2015-01-01 09:30:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,64.11883033657469
2015-01-01 09:45:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,64.27685962613309
2015-01-01 10:00:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,64.44022096150107
2015-01-01 10:15:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,64.60732361443405
2015-01-01 10:30:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,64.7781268981035
2015-01-01 10:45:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,64.95259056815014
2015-01-01 11:00:00,0,,0,4.2517513856511995,2.792707875,1.5224475942193558,65.13067481787216
2015-01-01 11:15:00,0,,0,0,0,0,64.47515403795131
2015-01-01 11:30:00,0,,0,0,0,0,63.82952098255567
2015-01-01 11:45:00,0,,0,0,0,0,63.19366812268101
2015-01-01 12:00:00,0,,0,0,0,0,62.567489098701046
2015-01-01 12:15:00,0,,0,0,0,0,61.94842632005614
2015-01-01 12:30:00,0,,0,0,0,0,61.33640239757829
2015-01-01 12:45:00,0,,0,0,0,0,60.73134078370667
2015-01-01 13:00:00,0,,0,0,0,0,60.133165763335185
2015-01-01 13:15:00,0,,0,0,0,0,59.53904350871596
2015-01-01 13:30:00,0,,0,0,0,0,58.94892994602146
2015-01-01 13:45:00,0,,0,0,0,0,58.36278148072698
2015-01-01 14:00:00,0,,0,0,0,0,57.78055499239831
2015-01-01 14:15:00,0,,0,0,0,0,57.2009816357388
2015-01-01 14:30:00,0,,0,0,0,0,56.624032557941554
2015-01-01 14:45:00,0,,0,0,0,0,56.049679219973946
2015-01-01 15:00:00,0,,0,0,0,0,55.477893393165324
2015-01-01 15:15:00,0,,0,0,0,0,54.904968574440424
