time,thermal_energy_output,cop,el_demand,temperature
2015-01-01 00:00:00,0,0,0,54.71674923286145
2015-01-01 00:15:00,0,0,0,54.43443297867056
2015-01-01 00:30:00,0,0,0,54.15304107459899
2015-01-01 00:45:00,4.762359419999999,1.8316766999999996,2.6,54.8072001273288
2015-01-01 01:00:00,4.750473520000001,1.8271052,2.6,55.44976669438234
2015-01-01 01:15:00,4.73862038,1.8225463,2.6,56.08148637025242
2015-01-01 01:30:00,4.732706094999999,1.8202715749999996,2.6,56.703642644633014
2015-01-01 01:45:00,4.703257519999999,1.8089451999999997,2.6,57.311720798365265
2015-01-01 02:00:00,4.67984608,1.7999408,2.6,57.90705874870108
2015-01-01 02:15:00,4.67984608,1.7999408,2.6,58.4900979782906
2015-01-01 02:30:00,4.67984608,1.7999408,2.6,59.060972235721934
2015-01-01 02:45:00,4.67984608,1.7999408,2.6,59.6198138150673
2015-01-01 03:00:00,4.67984608,1.7999408,2.6,60.16675357170089
2015-01-01 03:15:00,4.668189499999999,1.7954574999999995,2.6,60.69043682282083
2015-01-01 03:30:00,4.668189499999999,1.7954574999999995,2.6,61.19340414456991
2015-01-01 03:45:00,4.67984608,1.7999408,2.6,61.67816848432539
2015-01-01 04:00:00,4.6973923750000015,1.8066893750000004,2.6,62.14608368530005
2015-01-01 04:15:00,4.703257519999999,1.8089451999999997,2.6,62.568370783160695
2015-01-01 04:30:00,4.703257519999999,1.8089451999999997,2.6,62.94437491972946
2015-01-01 04:45:00,4.703257519999999,1.8089451999999997,2.6,63.27459942221041
2015-01-01 05:00:00,4.6973923750000015,1.8066893750000004,2.6,63.558391080324995
2015-01-01 05:15:00,4.67984608,1.7999408,2.6,63.79580165832171
2015-01-01 05:30:00,4.668189499999999,1.7954574999999995,2.6,63.988491436230426
2015-01-01 05:45:00,4.65656568,1.7909867999999998,2.6,64.13695318206462
2015-01-01 06:00:00,4.650766055,1.788756175,2.6,64.24281090283168
2015-01-01 06:15:00,4.668189499999999,1.7954574999999995,2.6,64.36319879636385
2015-01-01 06:30:00,4.668189499999999,1.7954574999999995,2.6,64.49453940952522
2015-01-01 06:45:00,4.67984608,1.7999408,2.6,64.63900129313515
2015-01-01 07:00:00,4.685686655,1.8021871749999998,2.6,64.79530033354706
2015-01-01 07:15:00,4.67984608,1.7999408,2.6,64.95733673665958
2015-01-01 07:30:00,4.685686655,1.8021871749999998,2.6,65.12734059228308
2015-01-01 07:45:00,0,0,0,64.38448976401953
2015-01-01 08:00:00,0,0,0,63.65830079509331
2015-01-01 08:15:00,0,0,0,62.94644664863913
2015-01-01 08:30:00,0,0,0,62.24877143346261
2015-01-01 08:45:00,0,0,0,61.565120953686105
2015-01-01 09:00:00,0,0,0,60.89534269031213
2015-01-01 09:15:00,0,0,0,60.23989887988588
2015-01-01 09:30:00,0,0,0,59.59863363523155
2015-01-01 09:45:00,0,0,0,58.97139276444638
2015-01-01 10:00:00,0,0,0,58.358023752464526
2015-01-01 10:15:00,0,0,0,57.75684300057509
2015-01-01 10:30:00,0,0,0,57.16771796144957
2015-01-01 10:45:00,0,0,0,56.590517529211645
2015-01-01 11:00:00,0,0,0,56.02511202376143
2015-01-01 11:15:00,0,0,0,55.46861423922654
2015-01-01 11:30:00,0,0,0,54.920927304142026
2015-01-01 11:45:00,5.108465179999999,1.9647942999999994,2.6,55.38451703170414
2015-01-01 12:00:00,5.1341698199999986,1.9746806999999995,2.6,55.850868820125754
2015-01-01 12:15:00,5.147071279999998,1.9796427999999993,2.6,56.3149875568179
2015-01-01 12:30:00,5.17297248,1.9896048,2.6,56.779448789675975
2015-01-01 12:45:00,5.23829878,2.0147303,2.6,57.25198616549019
2015-01-01 13:00:00,5.271269054999999,2.0274111749999997,2.6,57.726161825803494
2015-01-01 13:15:00,5.3177714200000015,2.0452967000000006,2.6,58.201854758014356
2015-01-01 13:30:00,5.337823854999999,2.0530091749999997,2.6,58.67385753182835
2015-01-01 13:45:00,5.3579500000000015,2.0607500000000005,2.6,59.14222474367116
2015-01-01 14:00:00,5.3177714200000015,2.0452967000000006,2.6,59.59516082886739
2015-01-01 14:15:00,5.23829878,2.0147303,2.6,60.023895752936184
2015-01-01 14:30:00,5.153534295000001,1.9821285750000004,2.6,60.427654152674315
2015-01-01 14:45:00,5.108465179999999,1.9647942999999994,2.6,60.81449806104801
2015-01-01 15:00:00,5.063797374999999,1.9476143749999997,2.6,61.18469018222899
2015-01-01 15:15:00,5.0321375,1.9354375,2.6,61.53728589379753
2015-01-01 15:30:00,5.0384530949999995,1.9378665749999997,2.6,61.87992943106605
2015-01-01 15:45:00,4.944579119999999,1.9017611999999997,2.6,62.193066323845485
2015-01-01 16:00:00,4.944579119999999,1.9017611999999997,2.6,62.49544069013313
2015-01-01 16:15:00,4.91985728,1.8922528,2.6,62.78354398247353
2015-01-01 16:30:00,4.889139255000001,1.880438175,2.6,63.05635461774665
2015-01-01 16:45:00,4.883020219999999,1.8780846999999996,2.6,63.31886657740438
2015-01-01 17:00:00,4.864712255000001,1.871043175,2.6,63.568799721570585
2015-01-01 17:15:00,4.87080672,1.8733871999999998,2.6,63.81567816953429
2015-01-01 17:30:00,4.840416295000001,1.8616985750000001,2.6,64.05237480047757
2015-01-01 17:45:00,4.858625979999999,1.8687022999999998,2.6,64.28853835431997
2015-01-01 18:00:00,4.840416295000001,1.8616985750000001,2.6,64.51702714626086
2015-01-01 18:15:00,4.846478000000001,1.8640300000000005,2.6,64.74452731071291
2015-01-01 18:30:00,4.840416295000001,1.8616985750000001,2.6,64.9686703196516
