time,thermal_energy_demand,ground_temperature,temperature,t below t_biv,th_output_hp,th_output_hr,el_demand_hp,el_demand_hr,cop
2/7/2015 0:15,1.808812579,4.1,-4.7,True,0,1.808812579,0,1.808812579,2.67861054
2/5/2015 1:30,2.031792304,4.2,-4.7,True,0,2.031792304,0,2.031792304,2.68541176
2/4/2015 6:30,3.859434991,4.3,-4.65,True,0,3.859434991,0,3.859434991,2.69222766
2/4/2015 23:30,1.982541006,4.3,-4.65,True,0,1.982541006,0,1.982541006,2.69222766
2/5/2015 6:30,3.992227762,4.2,-4.65,True,0,3.992227762,0,3.992227762,2.68541176
2/7/2015 0:30,1.815664142,4.1,-4.65,True,0,1.815664142,0,1.815664142,2.67861054
2/5/2015 6:45,3.911481857,4.2,-4.6,True,0,3.911481857,0,3.911481857,2.68541176
2/7/2015 0:45,1.822515704,4.1,-4.6,True,0,1.822515704,0,1.822515704,2.67861054
2/5/2015 3:30,2.332242183,4.2,-4.55,True,0,2.332242183,0,2.332242183,2.68541176
2/7/2015 1:00,1.829367267,4.1,-4.55,True,0,1.829367267,0,1.829367267,2.67861054
2/4/2015 6:45,3.781374923,4.3,-4.5,True,0,3.781374923,0,3.781374923,2.69222766
2/4/2015 8:00,3.601655231,4.3,-4.5,True,0,3.601655231,0,3.601655231,2.69222766
2/4/2015 23:15,1.986082532,4.3,-4.5,True,0,1.986082532,0,1.986082532,2.69222766
2/5/2015 0:00,1.975457952,4.2,-4.5,True,0,1.975457952,0,1.975457952,2.68541176
2/5/2015 1:00,2.00550294,4.2,-4.5,True,0,2.00550294,0,2.00550294,2.68541176
2/5/2015 1:15,2.018647622,4.2,-4.5,True,0,2.018647622,0,2.018647622,2.68541176
2/5/2015 3:45,2.412988088,4.2,-4.5,True,0,2.412988088,0,2.412988088,2.68541176
2/6/2015 5:45,3.757154941,4.1,-4.5,True,0,3.757154941,0,3.757154941,2.67861054
2/4/2015 7:45,3.627070137,4.3,-4.4,True,0,3.627070137,0,3.627070137,2.69222766
2/5/2015 7:45,3.751867859,4.2,-4.4,True,0,3.751867859,0,3.751867859,2.68541176
2/6/2015 4:30,2.734113711,4.1,-4.4,True,0,2.734113711,0,2.734113711,2.67861054
2/6/2015 5:30,3.530212696,4.1,-4.35,True,0,3.530212696,0,3.530212696,2.67861054
2/4/2015 5:45,3.786820974,4.3,-4.3,True,0,3.786820974,0,3.786820974,2.69222766
2/4/2015 6:15,3.937495059,4.3,-4.3,True,0,3.937495059,0,3.937495059,2.69222766
2/4/2015 7:30,3.652485043,4.3,-4.3,True,0,3.652485043,0,3.652485043,2.69222766
2/4/2015 23:00,1.989624059,4.3,-4.3,True,0,1.989624059,0,1.989624059,2.69222766
2/6/2015 4:45,2.905220959,4.1,-4.3,True,0,2.905220959,0,2.905220959,2.67861054
2/4/2015 6:00,4.015555127,4.3,-4.25,True,0,4.015555127,0,4.015555127,2.69222766
2/5/2015 5:30,3.680511013,4.2,-4.25,True,0,3.680511013,0,3.680511013,2.68541176
2/5/2015 4:30,2.850518223,4.2,-4.2,True,0,2.850518223,0,2.850518223,2.68541176
2/5/2015 0:30,1.990480446,4.2,-4.15,True,0,1.990480446,0,1.990480446,2.68541176
2/6/2015 8:00,3.573439791,4.1,-4.15,True,0,3.573439791,0,3.573439791,2.67861054
2/7/2015 0:00,1.801961016,4.1,-4.15,True,0,1.801961016,0,1.801961016,2.67861054
2/5/2015 0:45,1.997991693,4.2,-4.1,True,0,1.997991693,0,1.997991693,2.68541176
2/5/2015 4:45,3.028910339,4.2,-4.1,True,0,3.028910339,0,3.028910339,2.68541176
2/5/2015 7:00,3.830735952,4.2,-4.1,True,0,3.830735952,0,3.830735952,2.68541176
2/6/2015 4:15,2.563006463,4.1,-4.1,True,0,2.563006463,0,2.563006463,2.67861054
2/6/2015 5:00,3.076328207,4.1,-4.1,True,0,3.076328207,0,3.076328207,2.67861054
2/6/2015 20:45,3.081731594,4.1,-4.1,True,0,3.081731594,0,3.081731594,2.67861054
2/6/2015 2:30,2.028071171,4.1,-4,True,0,2.028071171,0,2.028071171,2.67861054
2/6/2015 5:15,3.303270452,4.1,-4,True,0,3.303270452,0,3.303270452,2.67861054
2/4/2015 5:00,3.100618516,4.3,-3.95,True,0,3.100618516,0,3.100618516,2.69222766
2/4/2015 22:00,2.323648536,4.3,-3.95,True,0,2.323648536,0,2.323648536,2.69222766
2/4/2015 22:45,2.073130179,4.3,-3.9,True,0,2.073130179,0,2.073130179,2.69222766
2/4/2015 5:30,3.558086821,4.3,-3.85,True,0,3.558086821,0,3.558086821,2.69222766
2/6/2015 4:00,2.391899215,4.1,-3.85,True,0,2.391899215,0,2.391899215,2.67861054
2/6/2015 8:15,3.546422857,4.1,-3.8,True,0,3.546422857,0,3.546422857,2.67861054
2/7/2015 8:15,3.372681787,4.1,-3.8,True,0,3.372681787,0,3.372681787,2.67861054
2/4/2015 8:15,3.574424975,4.3,-3.7,True,0,3.574424975,0,3.574424975,2.69222766
2/4/2015 21:00,3.013481696,4.3,-3.7,True,0,3.013481696,0,3.013481696,2.69222766
2/4/2015 22:15,2.240142417,4.3,-3.7,True,0,2.240142417,0,2.240142417,2.69222766
2/5/2015 5:15,3.443906734,4.2,-3.7,True,0,3.443906734,0,3.443906734,2.68541176
2/5/2015 8:00,3.725578495,4.2,-3.7,True,0,3.725578495,0,3.725578495,2.68541176
2/6/2015 3:45,2.314450671,4.1,-3.7,True,0,2.314450671,0,2.314450671,2.67861054
3/12/2015 3:45,1.431172014,5.55,-3.7,True,0,1.431172014,0,1.431172014,2.778665035
2/4/2015 4:45,2.928160226,4.3,-3.6,True,0,2.928160226,0,2.928160226,2.69222766
2/6/2015 2:45,2.055088105,4.1,-3.6,True,0,2.055088105,0,2.055088105,2.67861054
2/6/2015 3:30,2.237002127,4.1,-3.6,True,0,2.237002127,0,2.237002127,2.67861054
2/4/2015 4:30,2.755701936,4.3,-3.55,True,0,2.755701936,0,2.755701936,2.69222766
2/4/2015 5:15,3.329352669,4.3,-3.5,True,0,3.329352669,0,3.329352669,2.69222766
2/4/2015 21:15,2.841023406,4.3,-3.5,True,0,2.841023406,0,2.841023406,2.69222766
2/4/2015 21:45,2.496106826,4.3,-3.5,True,0,2.496106826,0,2.496106826,2.69222766
2/4/2015 22:30,2.156636298,4.3,-3.5,True,0,2.156636298,0,2.156636298,2.69222766
2/6/2015 3:15,2.159553583,4.1,-3.5,True,0,2.159553583,0,2.159553583,2.67861054
2/6/2015 20:15,3.265446744,4.1,-3.5,True,0,3.265446744,0,3.265446744,2.67861054
2/6/2015 21:45,2.476552274,4.1,-3.5,True,0,2.476552274,0,2.476552274,2.67861054
2/6/2015 22:15,2.222593096,4.1,-3.5,True,0,2.222593096,0,2.222593096,2.67861054
2/6/2015 23:00,1.974037304,4.1,-3.5,True,0,1.974037304,0,1.974037304,2.67861054
2/6/2015 3:00,2.082105039,4.1,-3.45,True,0,2.082105039,0,2.082105039,2.67861054
2/4/2015 21:30,2.668565116,4.3,-3.4,True,0,2.668565116,0,2.668565116,2.69222766
2/5/2015 5:00,3.207302454,4.2,-3.4,True,0,3.207302454,0,3.207302454,2.68541176
3/12/2015 5:15,2.409841112,5.55,-3.4,True,0,2.409841112,0,2.409841112,2.778665035
2/6/2015 21:00,2.989874018,4.1,-3.35,True,0,2.989874018,0,2.989874018,2.67861054
2/6/2015 21:30,2.647659522,4.1,-3.35,True,0,2.647659522,0,2.647659522,2.67861054
2/6/2015 22:00,2.305445026,4.1,-3.35,True,0,2.305445026,0,2.305445026,2.67861054
2/6/2015 1:15,1.936213596,4.1,-3.3,True,0,1.936213596,0,1.936213596,2.67861054
2/6/2015 2:15,2.001054238,4.1,-3.3,True,0,2.001054238,0,2.001054238,2.67861054
2/6/2015 19:30,3.425747219,4.1,-3.3,True,0,3.425747219,0,3.425747219,2.67861054
2/6/2015 22:45,2.056889234,4.1,-3.3,True,0,2.056889234,0,2.056889234,2.67861054
2/6/2015 23:15,1.931018232,4.1,-3.3,True,0,1.931018232,0,1.931018232,2.67861054
3/12/2015 5:45,2.730217854,5.55,-3.3,True,0,2.730217854,0,2.730217854,2.778665035
3/12/2015 5:30,2.570029483,5.55,-3.25,True,0,2.570029483,0,2.570029483,2.778665035
2/4/2015 4:15,2.583243646,4.3,-3.2,True,0,2.583243646,0,2.583243646,2.69222766
2/5/2015 8:15,3.697411319,4.2,-3.2,True,0,3.697411319,0,3.697411319,2.68541176
3/12/2015 3:30,1.342308392,5.55,-3.2,True,0,1.342308392,0,1.342308392,2.778665035
2/6/2015 22:30,2.139741165,4.1,-3.15,True,0,2.139741165,0,2.139741165,2.67861054
2/7/2015 8:30,3.346988427,4.1,-3.15,True,0,3.346988427,0,3.346988427,2.67861054
2/6/2015 1:00,1.923605694,4.1,-3.1,True,0,1.923605694,0,1.923605694,2.67861054
2/6/2015 8:30,3.519405923,4.1,-3.1,True,0,3.519405923,0,3.519405923,2.67861054
2/6/2015 21:15,2.81876677,4.1,-3.1,True,0,2.81876677,0,2.81876677,2.67861054
3/12/2015 4:00,1.520035636,5.55,-3.1,True,0,1.520035636,0,1.520035636,2.778665035
3/12/2015 4:15,1.702439912,5.55,-3.1,True,0,1.702439912,0,1.702439912,2.778665035
3/12/2015 5:00,2.249652741,5.55,-3.1,True,0,2.249652741,0,2.249652741,2.778665035
3/12/2015 6:00,2.890406224,5.55,-3.1,True,0,2.890406224,0,2.890406224,2.778665035
3/12/2015 6:15,2.844805155,5.55,-3.1,True,0,2.844805155,0,2.844805155,2.778665035
2/4/2015 8:30,3.547194719,4.3,-3.05,True,0,3.547194719,0,3.547194719,2.69222766
2/6/2015 1:30,1.948821499,4.1,-3.05,True,0,1.948821499,0,1.948821499,2.67861054
2/6/2015 23:30,1.88799916,4.1,-3.05,True,0,1.88799916,0,1.88799916,2.67861054
2/4/2015 20:15,3.29123031,4.3,-3,False,3.29123031,0,1.222493312,0,2.69222766
3/12/2015 4:30,1.884844188,5.55,-3,False,1.884844188,0,0.678327242,0,2.778665035
2/4/2015 4:00,2.410785356,4.3,-2.9,False,2.410785356,0,0.89546118,0,2.69222766
2/4/2015 19:30,3.452796497,4.3,-2.9,False,3.452796497,0,1.282505394,0,2.69222766
2/4/2015 20:45,3.106064567,4.3,-2.9,False,3.106064567,0,1.153715421,0,2.69222766
4/7/2015 4:45,1.932415273,6.85,-2.9,False,1.932415273,0,0.673082517,0,2.870993115
2/4/2015 20:30,3.198647438,4.3,-2.85,False,3.198647438,0,1.188104366,0,2.69222766
2/5/2015 8:30,3.669244143,4.2,-2.85,False,3.669244143,0,1.366361836,0,2.68541176
2/6/2015 20:30,3.173589169,4.1,-2.85,False,3.173589169,0,1.184789323,0,2.67861054
1/19/2015 6:15,3.666486608,5.65,-2.8,False,3.666486608,0,1.316191297,0,2.785679115
1/25/2015 2:15,1.561982147,4.8,-2.8,False,1.561982147,0,0.572883357,0,2.72652736
2/4/2015 3:30,2.25466522,4.3,-2.8,False,2.25466522,0,0.837471977,0,2.69222766
2/4/2015 3:45,2.332725288,4.3,-2.8,False,2.332725288,0,0.866466578,0,2.69222766
2/4/2015 19:15,3.487288155,4.3,-2.8,False,3.487288155,0,1.295316963,0,2.69222766
2/6/2015 0:45,1.916401178,4.1,-2.8,False,1.916401178,0,0.715445993,0,2.67861054
1/19/2015 6:00,3.739173987,5.65,-2.75,False,3.739173987,0,1.342284532,0,2.785679115
1/19/2015 7:00,3.448424472,5.65,-2.75,False,3.448424472,0,1.237911594,0,2.785679115
2/6/2015 0:30,1.909196662,4.1,-2.75,False,1.909196662,0,0.712756347,0,2.67861054
2/28/2015 4:30,2.016685925,4.1,-2.75,False,2.016685925,0,0.752885085,0,2.67861054
2/5/2015 23:30,1.97643465,4.2,-2.7,False,1.97643465,0,0.735989422,0,2.68541176
2/5/2015 23:45,1.93561114,4.2,-2.7,False,1.93561114,0,0.720787467,0,2.68541176
2/6/2015 1:45,1.961429401,4.1,-2.7,False,1.961429401,0,0.732256284,0,2.67861054
2/6/2015 19:45,3.391525769,4.1,-2.7,False,3.391525769,0,1.266151133,0,2.67861054
3/12/2015 4:45,2.067248465,5.55,-2.7,False,2.067248465,0,0.743971813,0,2.778665035
3/12/2015 6:30,2.799204086,5.55,-2.7,False,2.799204086,0,1.007391697,0,2.778665035
2/6/2015 0:00,1.894787631,4.1,-2.65,False,1.894787631,0,0.707377053,0,2.67861054
1/21/2015 4:45,2.700377465,5.2,-2.6,False,2.700377465,0,0.980446852,0,2.75423136
1/21/2015 5:45,3.560182881,5.2,-2.6,False,3.560182881,0,1.292623028,0,2.75423136
1/21/2015 6:00,3.772682319,5.2,-2.6,False,3.772682319,0,1.369776836,0,2.75423136
1/21/2015 6:15,3.707297876,5.2,-2.6,False,3.707297876,0,1.346037203,0,2.75423136
2/3/2015 23:00,1.595202009,4.35,-2.6,False,1.595202009,0,0.591770915,0,2.695641115
2/3/2015 23:15,1.673838667,4.35,-2.6,False,1.673838667,0,0.620942698,0,2.695641115
2/4/2015 3:15,2.176605152,4.3,-2.6,False,2.176605152,0,0.808477375,0,2.69222766
2/4/2015 20:00,3.383813181,4.3,-2.6,False,3.383813181,0,1.256882258,0,2.69222766
2/5/2015 21:45,2.581991144,4.2,-2.6,False,2.581991144,0,0.961487986,0,2.68541176
2/5/2015 22:45,2.144461009,4.2,-2.6,False,2.144461009,0,0.798559476,0,2.68541176
2/6/2015 0:15,1.901992147,4.1,-2.6,False,1.901992147,0,0.7100667,0,2.67861054
2/6/2015 8:45,3.492388989,4.1,-2.6,False,3.492388989,0,1.303806185,0,2.67861054
2/6/2015 20:00,3.357304319,4.1,-2.6,False,3.357304319,0,1.253375311,0,2.67861054
1/21/2015 6:30,3.641913434,5.2,-2.55,False,3.641913434,0,1.32229757,0,2.75423136
2/3/2015 23:30,1.752475325,4.35,-2.55,False,1.752475325,0,0.650114481,0,2.695641115
3/23/2015 3:30,1.296990746,5.8,-2.55,False,1.296990746,0,0.463835874,0,2.79622776
1/19/2015 4:45,2.726621899,5.65,-2.5,False,2.726621899,0,0.978799706,0,2.785679115
2/4/2015 8:45,3.519964463,4.3,-2.5,False,3.519964463,0,1.307454238,0,2.69222766
2/5/2015 8:45,3.641076966,4.2,-2.5,False,3.641076966,0,1.355872876,0,2.68541176
2/5/2015 21:30,2.76038326,4.2,-2.5,False,2.76038326,0,1.027918065,0,2.68541176
2/5/2015 23:00,2.058081669,4.2,-2.5,False,2.058081669,0,0.766393333,0,2.68541176
2/6/2015 2:00,1.974037304,4.1,-2.5,False,1.974037304,0,0.736963166,0,2.67861054
4/7/2015 5:00,2.102922503,6.85,-2.5,False,2.102922503,0,0.732472151,0,2.870993115
1/21/2015 4:30,2.478070362,5.2,-2.45,False,2.478070362,0,0.899732099,0,2.75423136
1/19/2015 5:45,3.526183063,5.65,-2.4,False,3.526183063,0,1.265825286,0,2.785679115
1/19/2015 7:15,3.424758814,5.65,-2.4,False,3.424758814,0,1.229416122,0,2.785679115
1/21/2015 5:15,3.135184007,5.2,-2.4,False,3.135184007,0,1.138315412,0,2.75423136
2/3/2015 23:45,1.831111983,4.35,-2.4,False,1.831111983,0,0.679286264,0,2.695641115
2/4/2015 19:45,3.418304839,4.3,-2.4,False,3.418304839,0,1.269693826,0,2.69222766
2/5/2015 23:15,2.017258159,4.2,-2.4,False,2.017258159,0,0.751191377,0,2.68541176
3/11/2015 6:15,2.964097277,5.7,-2.4,False,2.964097277,0,1.062708354,0,2.78919166
3/12/2015 3:00,1.164581149,5.55,-2.4,False,1.164581149,0,0.419115343,0,2.778665035
1/21/2015 5:30,3.347683444,5.2,-2.35,False,3.347683444,0,1.21546922,0,2.75423136
2/6/2015 9:00,3.465372055,4.1,-2.35,False,3.465372055,0,1.29372001,0,2.67861054
4/7/2015 5:30,2.402403151,6.85,-2.35,False,2.402403151,0,0.836784713,0,2.870993115
2/5/2015 9:15,3.586620426,4.2,-2.3,False,3.586620426,0,1.33559422,0,2.68541176
2/6/2015 23:45,1.844980088,4.1,-2.3,False,1.844980088,0,0.688782509,0,2.67861054
2/7/2015 8:45,3.321295066,4.1,-2.3,False,3.321295066,0,1.239932053,0,2.67861054
2/28/2015 4:15,1.835769509,4.1,-2.3,False,1.835769509,0,0.685343943,0,2.67861054
3/12/2015 0:45,0.962299483,5.55,-2.3,False,0.962299483,0,0.346317196,0,2.778665035
3/12/2015 6:45,2.753603017,5.55,-2.3,False,2.753603017,0,0.990980555,0,2.778665035
4/7/2015 4:30,1.761908043,6.85,-2.3,False,1.761908043,0,0.613692883,0,2.870993115
1/21/2015 5:00,2.922684569,5.2,-2.25,False,2.922684569,0,1.061161605,0,2.75423136
2/5/2015 9:00,3.61290979,4.2,-2.25,False,3.61290979,0,1.345383916,0,2.68541176
2/5/2015 22:00,2.403599029,4.2,-2.25,False,2.403599029,0,0.895057907,0,2.68541176
1/21/2015 4:00,2.033456154,5.2,-2.2,False,2.033456154,0,0.738302593,0,2.75423136
1/21/2015 4:15,2.255763258,5.2,-2.2,False,2.255763258,0,0.819017346,0,2.75423136
1/21/2015 6:45,3.576528992,5.2,-2.2,False,3.576528992,0,1.298557937,0,2.75423136
2/3/2015 22:45,1.696510201,4.35,-2.2,False,1.696510201,0,0.62935314,0,2.695641115
2/5/2015 22:15,2.317219689,4.2,-2.2,False,2.317219689,0,0.862891763,0,2.68541176
3/11/2015 6:00,3.016374125,5.7,-2.2,False,3.016374125,0,1.081451005,0,2.78919166
3/16/2015 6:15,2.708095341,5.4,-2.2,False,2.708095341,0,0.978297551,0,2.76817144
3/23/2015 5:00,2.17370226,5.8,-2.2,False,2.17370226,0,0.77736953,0,2.79622776
4/7/2015 3:30,1.254758333,6.85,-2.2,False,1.254758333,0,0.437046793,0,2.870993115
4/7/2015 4:00,1.420893583,6.85,-2.2,False,1.420893583,0,0.494913616,0,2.870993115
4/7/2015 5:15,2.252662827,6.85,-2.2,False,2.252662827,0,0.784628432,0,2.870993115
1/19/2015 8:30,3.303049715,5.65,-2.15,False,3.303049715,0,1.185725124,0,2.785679115
1/21/2015 7:30,3.41960633,5.2,-2.15,False,3.41960633,0,1.241582817,0,2.75423136
1/24/2015 3:30,2.134608334,4.85,-2.15,False,2.134608334,0,0.781914255,0,2.729977515
2/4/2015 9:00,3.492734206,4.3,-2.15,False,3.492734206,0,1.297339842,0,2.69222766
2/5/2015 9:30,3.560331062,4.2,-2.15,False,3.560331062,0,1.325804525,0,2.68541176
2/5/2015 22:30,2.230840349,4.2,-2.15,False,2.230840349,0,0.83072562,0,2.68541176
1/19/2015 0:45,1.798590019,5.65,-2.1,False,1.798590019,0,0.645655851,0,2.785679115
1/19/2015 5:00,2.887210294,5.65,-2.1,False,2.887210294,0,1.03644755,0,2.785679115
1/19/2015 6:45,3.521111851,5.65,-2.1,False,3.521111851,0,1.264004828,0,2.785679115
1/21/2015 7:00,3.51114455,5.2,-2.1,False,3.51114455,0,1.274818303,0,2.75423136
1/24/2015 3:15,2.060704825,4.85,-2.1,False,2.060704825,0,0.754843149,0,2.729977515
1/25/2015 2:45,1.621876518,4.8,-2.1,False,1.621876518,0,0.59485063,0,2.72652736
2/5/2015 9:45,3.534041697,4.2,-2.1,False,3.534041697,0,1.316014829,0,2.68541176
2/28/2015 4:45,2.19760234,4.1,-2.1,False,2.19760234,0,0.820426227,0,2.67861054
3/23/2015 4:15,1.644963872,5.8,-2.1,False,1.644963872,0,0.588279644,0,2.79622776
4/7/2015 4:15,1.591400813,6.85,-2.1,False,1.591400813,0,0.55430325,0,2.870993115
1/19/2015 6:30,3.59379923,5.65,-2.05,False,3.59379923,0,1.290098063,0,2.785679115
1/24/2015 1:00,1.835556925,4.85,-2.05,False,1.835556925,0,0.672370712,0,2.729977515
3/23/2015 5:30,2.483262769,5.8,-2.05,False,2.483262769,0,0.888076002,0,2.79622776
1/19/2015 7:30,3.401093156,5.65,-2,False,3.401093156,0,1.22092065,0,2.785679115
1/19/2015 7:45,3.377427498,5.65,-2,False,3.377427498,0,1.212425178,0,2.785679115
1/19/2015 8:45,3.277693653,5.65,-2,False,3.277693653,0,1.176622833,0,2.785679115
1/21/2015 3:45,1.953360213,5.2,-2,False,1.953360213,0,0.709221542,0,2.75423136
1/21/2015 7:15,3.46537544,5.2,-2,False,3.46537544,0,1.25820056,0,2.75423136
1/21/2015 7:45,3.373837221,5.2,-2,False,3.373837221,0,1.224965074,0,2.75423136
1/24/2015 1:30,1.859618532,4.85,-2,False,1.859618532,0,0.68118456,0,2.729977515
1/24/2015 3:45,2.208511843,4.85,-2,False,2.208511843,0,0.80898536,0,2.729977515
1/24/2015 4:15,2.445690547,4.85,-2,False,2.445690547,0,0.895864722,0,2.729977515
1/25/2015 2:30,1.591929332,4.8,-2,False,1.591929332,0,0.583866993,0,2.72652736
