time,thermal_energy_demand,temperature,t below t_biv,th_output_hp,th_output_hr,el_demand_hp,el_demand_hr,cop
2015-05-21 12:00:00,0.9075802316903105,16.15,False,0.9075802316903105,0.0,0.3342186761477114,0.0,2.7155281749999993
2015-05-21 12:15:00,0.9015516190401938,16.4,False,0.9015516190401938,0.0,0.32999635251013976,0.0,2.7320048
2015-05-21 12:30:00,0.895523006390077,16.700000000000006,False,0.895523006390077,0.0,0.32542217632838405,0.0,2.7518807
2015-05-21 12:45:00,0.8894943937399602,16.4,False,0.8894943937399602,0.0,0.3255830274309768,0.0,2.7320048
2015-05-21 13:00:00,0.8834657810898434,16.0,False,0.8834657810898434,0.0,0.3265226416611881,0.0,2.70568
2015-05-21 13:15:00,0.8812735583079827,17.0,False,0.8812735583079827,0.0,0.3179346644351945,0.0,2.7718700000000003
2015-05-21 13:30:00,0.879081335526122,17.1,False,0.879081335526122,0.0,0.31638038169871124,0.0,2.7785582999999994
2015-05-21 13:45:00,0.8768891127442614,16.4,False,0.8768891127442614,0.0,0.3209690966663973,0.0,2.7320048
2015-05-21 14:00:00,0.8746968899624007,17.7,False,0.8746968899624007,0.0,0.3102914390732419,0.0,2.8189526999999996
2015-05-21 14:15:00,0.8829177253943782,17.4,False,0.8829177253943782,0.0,0.31547436451338684,0.0,2.7986987999999995
2015-05-21 14:30:00,0.8911385608263556,16.65,False,0.8911385608263556,0.0,0.32422013857723003,0.0,2.7485601749999997
2015-05-21 14:45:00,0.899359396258333,16.3,False,0.899359396258333,0.0,0.3299911371908668,0.0,2.7254046999999995
2015-05-21 15:00:00,0.9075802316903105,16.05,False,0.9075802316903105,0.0,0.33502907908484053,0.0,2.708959574999999
2015-05-21 15:15:00,0.9218296797724048,16.2,False,0.9218296797724048,0.0,0.3390554097467107,0.0,2.7188172
2015-05-21 15:30:00,0.9360791278544991,16.5,False,0.9360791278544991,0.0,0.34180718112496505,0.0,2.7386175
2015-05-21 15:45:00,0.9503285759365933,16.8,False,0.9503285759365933,0.0,0.34450528452844514,0.0,2.7585312
