time,thermal_energy_demand,ground_temperature,temperature,t below t_biv,th_output_hp,th_output_hr,el_demand_hp,el_demand_hr,cop
2015-12-24 21:00:00,1.186651278127484,7.9,12.7,False,1.186651278127484,0.0,0.40261266281315344,0.0,2.9473769400000003
2015-12-24 21:15:00,1.0892209626601748,7.9,12.8,False,1.0892209626601748,0.0,0.3695560441821787,0.0,2.9473769400000003
2015-12-24 21:30:00,0.9917906471928656,7.9,12.7,False,0.9917906471928656,0.0,0.336499425551204,0.0,2.9473769400000003
2015-12-24 21:45:00,0.8943603317255564,7.9,12.8,False,0.8943603317255564,0.0,0.30344280692022935,0.0,2.9473769400000003
2015-12-24 22:00:00,0.7969300162582471,7.9,12.8,False,0.7969300162582471,0.0,0.2703861882892546,0.0,2.9473769400000003
2015-12-24 22:15:00,0.7076188937465471,7.9,12.7,False,0.7076188937465471,0.0,0.2400842878775278,0.0,2.9473769400000003
2015-12-24 22:30:00,0.6183077712348469,7.9,11.45,False,0.6183077712348469,0.0,0.209782387465801,0.0,2.9473769400000003
2015-12-24 22:45:00,0.5289966487231469,7.9,9.6,False,0.5289966487231469,0.0,0.1794804870540742,0.0,2.9473769400000003
2015-12-24 23:00:00,0.4396855262114468,7.9,9.4,False,0.4396855262114468,0.0,0.1491785866423474,0.0,2.9473769400000003
2015-12-24 23:15:00,0.4696197500185859,7.9,9.2,False,0.4696197500185859,0.0,0.15933481179322312,0.0,2.9473769400000003
2015-12-24 23:30:00,0.4995539738257251,7.9,9.15,False,0.4995539738257251,0.0,0.16949103694409887,0.0,2.9473769400000003
2015-12-24 23:45:00,0.5294881976328641,7.9,9.2,False,0.5294881976328641,0.0,0.17964726209497456,0.0,2.9473769400000003
2015-12-25 00:00:00,0.5594224214400033,7.8,9.05,False,0.5594224214400033,0.0,0.19027762789130587,0.0,2.9400325599999997
2015-12-25 00:15:00,0.5686985585302075,7.8,8.9,False,0.5686985585302075,0.0,0.19343274161909538,0.0,2.9400325599999997
2015-12-25 00:30:00,0.5779746956204116,7.8,9.05,False,0.5779746956204116,0.0,0.1965878553468849,0.0,2.9400325599999997
2015-12-25 00:45:00,0.5872508327106157,7.8,9.2,False,0.5872508327106157,0.0,0.1997429690746744,0.0,2.9400325599999997
2015-12-25 01:00:00,0.5965269698008199,7.8,9.0,False,0.5965269698008199,0.0,0.2028980828024639,0.0,2.9400325599999997
2015-12-25 01:15:00,0.6022353618563301,7.8,8.6,False,0.6022353618563301,0.0,0.20483969125033435,0.0,2.9400325599999997
2015-12-25 01:30:00,0.6079437539118404,7.8,8.8,False,0.6079437539118404,0.0,0.20678129969820486,0.0,2.9400325599999997
2015-12-25 01:45:00,0.6136521459673506,7.8,9.2,False,0.6136521459673506,0.0,0.20872290814607533,0.0,2.9400325599999997
2015-12-25 02:00:00,0.6193605380228608,7.8,9.05,False,0.6193605380228608,0.0,0.21066451659394578,0.0,2.9400325599999997
2015-12-25 02:15:00,0.6421941062449018,7.8,8.6,False,0.6421941062449018,0.0,0.21843095038542767,0.0,2.9400325599999997
2015-12-25 02:30:00,0.6650276744669428,7.8,8.45,False,0.6650276744669428,0.0,0.22619738417690954,0.0,2.9400325599999997
2015-12-25 02:45:00,0.6878612426889836,7.8,8.6,False,0.6878612426889836,0.0,0.23396381796839139,0.0,2.9400325599999997
2015-12-25 03:00:00,0.7106948109110246,7.8,8.7,False,0.7106948109110246,0.0,0.24173025175987325,0.0,2.9400325599999997
2015-12-25 03:15:00,0.7649245354383719,7.8,8.9,False,0.7649245354383719,0.0,0.2601755320146427,0.0,2.9400325599999997
2015-12-25 03:30:00,0.8191542599657191,7.8,8.850000000000003,False,0.8191542599657191,0.0,0.27862081226941215,0.0,2.9400325599999997
2015-12-25 03:45:00,0.8733839844930664,7.8,8.9,False,0.8733839844930664,0.0,0.2970660925241816,0.0,2.9400325599999997
2015-12-25 04:00:00,0.9276137090204137,7.8,8.8,False,0.9276137090204137,0.0,0.3155113727789511,0.0,2.9400325599999997
2015-12-25 04:15:00,1.0389273541028634,7.8,9.0,False,1.0389273541028634,0.0,0.3533727375124252,0.0,2.9400325599999997
2015-12-25 04:30:00,1.1502409991853129,7.8,8.850000000000003,False,1.1502409991853129,0.0,0.3912341022458993,0.0,2.9400325599999997
2015-12-25 04:45:00,1.2615546442677625,7.8,8.7,False,1.2615546442677625,0.0,0.4290954669793734,0.0,2.9400325599999997
2015-12-25 05:00:00,1.3728682893502122,7.8,8.55,False,1.3728682893502122,0.0,0.4669568317128475,0.0,2.9400325599999997
2015-12-25 05:15:00,1.470624503300825,7.8,8.4,False,1.470624503300825,0.0,0.5002068763826293,0.0,2.9400325599999997
2015-12-25 05:30:00,1.568380717251438,7.8,8.55,False,1.568380717251438,0.0,0.533456921052411,0.0,2.9400325599999997
2015-12-25 05:45:00,1.6661369312020509,7.8,8.4,False,1.6661369312020509,0.0,0.5667069657221929,0.0,2.9400325599999997
2015-12-25 06:00:00,1.7638931451526636,7.8,8.05,False,1.7638931451526636,0.0,0.5999570103919747,0.0,2.9400325599999997
2015-12-25 06:15:00,1.7360647338820512,7.8,7.8,False,1.7360647338820512,0.0,0.5904916692086061,0.0,2.9400325599999997
