time,Wind_0,Wind_1,Wind_2,Wind_3,Wind_4,Wind_5
2024-03-11 00:00:00,101.5733410030846,101.5733410030846,101.5733410030846,101.5733410030846,101.5733410030846,101.5733410030846
2024-03-11 00:15:00,61.02597518604139,61.02597518604139,61.02597518604139,61.02597518604139,61.02597518604139,61.02597518604139
2024-03-11 00:30:00,101.70157857272706,101.70157857272706,101.70157857272706,101.70157857272706,101.70157857272706,101.70157857272706
2024-03-11 00:45:00,151.21159843726326,151.21159843726326,151.21159843726326,151.21159843726326,151.21159843726326,151.21159843726326
2024-03-11 01:00:00,337.2585463196102,337.2585463196102,337.2585463196102,337.2585463196102,337.2585463196102,337.2585463196102
2024-03-11 01:15:00,293.945871938993,293.945871938993,293.945871938993,293.945871938993,293.945871938993,293.945871938993
2024-03-11 01:30:00,315.9003680931754,315.9003680931754,315.9003680931754,315.9003680931754,315.9003680931754,315.9003680931754
2024-03-11 01:45:00,254.61171675825022,254.61171675825022,254.61171675825022,254.61171675825022,254.61171675825022,254.61171675825022
2024-03-11 02:00:00,254.63290154690262,254.63290154690262,254.63290154690262,254.63290154690262,254.63290154690262,254.63290154690262
2024-03-11 02:15:00,228.9271181778466,228.9271181778466,228.9271181778466,228.9271181778466,228.9271181778466,228.9271181778466
2024-03-11 02:30:00,125.80935849474287,125.80935849474287,125.80935849474287,125.80935849474287,125.80935849474287,125.80935849474287
2024-03-11 02:45:00,125.85092242681942,125.85092242681942,125.85092242681942,125.85092242681942,125.85092242681942,125.85092242681942
2024-03-11 03:00:00,151.60606036190683,151.60606036190683,151.60606036190683,151.60606036190683,151.60606036190683,151.60606036190683
2024-03-11 03:15:00,125.83414599211552,125.83414599211552,125.83414599211552,125.83414599211552,125.83414599211552,125.83414599211552
2024-03-11 03:30:00,228.9672784274489,228.9672784274489,228.9672784274489,228.9672784274489,228.9672784274489,228.9672784274489
2024-03-11 03:45:00,228.90681367148522,228.90681367148522,228.90681367148522,228.90681367148522,228.90681367148522,228.90681367148522
2024-03-11 04:00:00,241.8682461594872,241.8682461594872,241.8682461594872,241.8682461594872,241.8682461594872,241.8682461594872
2024-03-11 04:15:00,203.1958049152646,203.1958049152646,203.1958049152646,203.1958049152646,203.1958049152646,203.1958049152646
2024-03-11 04:30:00,254.79591763561993,254.79591763561993,254.79591763561993,254.79591763561993,254.79591763561993,254.79591763561993
2024-03-11 04:45:00,177.49722944323116,177.49722944323116,177.49722944323116,177.49722944323116,177.49722944323116,177.49722944323116
2024-03-11 05:00:00,229.12892694517538,229.12892694517538,229.12892694517538,229.12892694517538,229.12892694517538,229.12892694517538
2024-03-11 05:15:00,255.00153551575414,255.00153551575414,255.00153551575414,255.00153551575414,255.00153551575414,255.00153551575414
2024-03-11 05:30:00,203.49546997466229,203.49546997466229,203.49546997466229,203.49546997466229,203.49546997466229,203.49546997466229
2024-03-11 05:45:00,295.3891576771273,295.3891576771273,295.3891576771273,295.3891576771273,295.3891576771273,295.3891576771273
2024-03-11 06:00:00,229.40214205190924,229.40214205190924,229.40214205190924,229.40214205190924,229.40214205190924,229.40214205190924
2024-03-11 06:15:00,177.8112298030418,177.8112298030418,177.8112298030418,177.8112298030418,177.8112298030418,177.8112298030418
2024-03-11 06:30:00,203.63119483053316,203.63119483053316,203.63119483053316,203.63119483053316,203.63119483053316,203.63119483053316
2024-03-11 06:45:00,88.5588244737072,88.5588244737072,88.5588244737072,88.5588244737072,88.5588244737072,88.5588244737072
2024-03-11 07:00:00,61.437738533543936,61.437738533543936,61.437738533543936,61.437738533543936,61.437738533543936,61.437738533543936
2024-03-11 07:15:00,61.44818275352443,61.44818275352443,61.44818275352443,61.44818275352443,61.44818275352443,61.44818275352443
2024-03-11 07:30:00,61.42739114007922,61.42739114007922,61.42739114007922,61.42739114007922,61.42739114007922,61.42739114007922
2024-03-11 07:45:00,152.01977230483962,152.01977230483962,152.01977230483962,152.01977230483962,152.01977230483962,152.01977230483962
2024-03-11 08:00:00,102.12957555354926,102.12957555354926,102.12957555354926,102.12957555354926,102.12957555354926,102.12957555354926
2024-03-11 08:15:00,88.57865348718273,88.57865348718273,88.57865348718273,88.57865348718273,88.57865348718273,88.57865348718273
2024-03-11 08:30:00,54.66502602135291,54.66502602135291,54.66502602135291,54.66502602135291,54.66502602135291,54.66502602135291
2024-03-11 08:45:00,47.88513926347564,47.88513926347564,47.88513926347564,47.88513926347564,47.88513926347564,47.88513926347564
2024-03-11 09:00:00,19.8485912961572,19.8485912961572,19.8485912961572,19.8485912961572,19.8485912961572,19.8485912961572
2024-03-11 09:15:00,152.01168730057694,152.01168730057694,152.01168730057694,152.01168730057694,152.01168730057694,152.01168730057694
2024-03-11 09:30:00,151.98976518647964,151.98976518647964,151.98976518647964,151.98976518647964,151.98976518647964,151.98976518647964
2024-03-11 09:45:00,88.5592564906454,88.5592564906454,88.5592564906454,88.5592564906454,88.5592564906454,88.5592564906454
2024-03-11 10:00:00,216.64187340934245,216.64187340934245,216.64187340934245,216.64187340934245,216.64187340934245,216.64187340934245
2024-03-11 10:15:00,203.709854854419,203.709854854419,203.709854854419,203.709854854419,203.709854854419,203.709854854419
2024-03-11 10:30:00,229.62614824883377,229.62614824883377,229.62614824883377,229.62614824883377,229.62614824883377,229.62614824883377
2024-03-11 10:45:00,295.7629232548001,295.7629232548001,295.7629232548001,295.7629232548001,295.7629232548001,295.7629232548001
2024-03-11 11:00:00,242.52092194378233,242.52092194378233,242.52092194378233,242.52092194378233,242.52092194378233,242.52092194378233
