time,P_in,status,status codes,hydrogen production [Nm3/dt],surplus electricity [kW],H20 [kg/dt],Heat Cell [W/dt],Oxygen [kg/dt]
2015-01-01 00:00:00+00:00,78566.58969207297,production,4,0.0,0.0,0.0,0.0,0.0
2015-01-01 00:15:00+00:00,149908.4468781267,production,4,0.0,0.0,0.0,0.0,0.0
2015-01-01 00:30:00+00:00,169751.43568191197,production,4,0.0,0.0,0.0,0.0,0.0
2015-01-01 00:45:00+00:00,41006.503243421575,production,4,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:00:00+00:00,18581.62174243732,production,4,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:15:00+00:00,7368.567422887353,production,4,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:30:00+00:00,24188.00702773592,production,4,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:45:00+00:00,89462.19541342149,production,4,0.0,0.0,0.0,0.0,0.0
2015-01-01 02:00:00+00:00,41006.503243421575,production,4,0.0,0.0,0.0,0.0,0.0
