time,P_in,status,status codes,hydrogen production [Kg/dt],surplus electricity [kW],H20 [kg/dt],Heat Cell [W/dt],Oxygen [kg/dt],compression [kw],gasdrying [kw/kg],pump [kw/kg],heat system [kW/dt],efficiency [%],efficency with compression [%]
2015-01-01 00:00:00+00:00,785.6658969207297,production,4,10.241297895925616,285.66589692072966,131.49095987381963,0.0,81.41307684288888,85.50541823323908,8885.635438114863,1.9593733828877309,0.07497244537691308,68.00200912093126,-2.3137710461647867
2015-01-01 00:15:00+00:00,1499.084468781267,production,4,10.241297895925616,999.0844687812671,131.49095987381963,0.0,81.41307684288888,85.50541823323908,8885.635438114863,1.9593733828877309,0.07497244537691308,68.00200912093126,-0.4548783653069467
2015-01-01 00:30:00+00:00,1697.5143568191197,production,4,10.241297895925616,1197.5143568191197,131.49095987381963,0.0,81.41307684288888,85.50541823323908,8885.635438114863,1.9593733828877309,0.07497244537691308,68.00200912093126,-0.37179717697541814
2015-01-01 00:45:00+00:00,410.06503243421577,production,4,8.541585494127428,0.0,116.30652517323165,0.0,67.90123315035656,71.31438294953767,7410.917594194915,1.7331070508518307,-8296.449786447989,56.74153061029976,401.8752636415349
2015-01-01 01:00:00+00:00,185.8162174243732,production,4,3.9688584845285813,0.0,75.45592326704353,0.0,31.550393716017705,33.13631807968069,3443.4922172335328,1.1243839711303296,-2110.706755235045,26.397049818465497,381.6998060806415
2015-01-01 01:15:00+00:00,73.68567422887354,production,4,1.443168759921612,0.0,52.89259393164099,0.0,11.472453036982552,12.049131824134832,1252.133431392659,0.7881632379974806,-336.3660236797756,9.60502230267923,368.88901416113663
2015-01-01 01:30:00+00:00,241.88007027735918,production,4,5.164036018019227,0.0,86.13307970462614,0.0,41.05144342317243,43.11495124733277,4480.4615500607915,1.2834864383174531,-3370.721161408146,34.33532624493501,387.06009033876677
2015-01-01 01:45:00+00:00,894.6219541342149,production,4,10.241297895925616,394.6219541342149,131.49095987381963,0.0,81.41307684288888,85.50541823323908,8885.635438114863,1.9593733828877309,0.07497244537691308,68.00200912093126,-1.4246332394207277
2015-01-01 02:00:00+00:00,410.06503243421577,production,4,8.541585494127428,0.0,116.30652517323165,0.0,67.90123315035656,71.31438294953767,7410.917594194915,1.7331070508518307,-8296.449786447989,56.74153061029976,401.8752636415349
2015-01-01 02:15:00+00:00,1499.084468781267,production,4,10.241297895925616,999.0844687812671,131.49095987381963,0.0,81.41307684288888,85.50541823323908,8885.635438114863,1.9593733828877309,0.07497244537691308,68.00200912093126,-0.4548783653069467
2015-01-01 02:30:00+00:00,1588.7487475054195,production,4,10.241297895925616,1088.7487475054195,131.49095987381963,0.0,81.41307684288888,85.50541823323908,8885.635438114863,1.9593733828877309,0.07497244537691308,68.00200912093126,-0.41316000262926295
2015-01-01 02:45:00+00:00,1097.9741012295544,production,4,10.241297895925616,597.9741012295544,131.49095987381963,0.0,81.41307684288888,85.50541823323908,8885.635438114863,1.9593733828877309,0.07497244537691308,68.00200912093126,-0.8296210673073491
2015-01-01 03:00:00+00:00,241.88007027735918,production,4,5.164036018019227,0.0,86.13307970462614,0.0,41.05144342317243,43.11495124733277,4480.4615500607915,1.2834864383174531,-3370.721161408146,34.33532624493501,387.06009033876677
2015-01-01 03:15:00+00:00,1499.084468781267,production,4,10.241297895925616,999.0844687812671,131.49095987381963,0.0,81.41307684288888,85.50541823323908,8885.635438114863,1.9593733828877309,0.07497244537691308,68.00200912093126,-0.4548783653069467
2015-01-01 03:30:00+00:00,1097.9741012295533,production,4,10.241297895925616,597.9741012295533,131.49095987381963,0.0,81.41307684288888,85.50541823323908,8885.635438114863,1.9593733828877309,0.07497244537691308,68.00200912093126,-0.829621067307351
2015-01-01 03:45:00+00:00,678.2671836557971,production,4,10.241297895925616,178.2671836557971,131.49095987381963,0.0,81.41307684288888,85.50541823323908,8885.635438114863,1.9593733828877309,0.07497244537691308,68.00200912093126,-6.012860445629502
2015-01-01 04:00:00+00:00,185.8162174243732,production,4,3.9688584845285813,0.0,75.45592326704353,0.0,31.550393716017705,33.13631807968069,3443.4922172335328,1.1243839711303296,-2110.706755235045,26.397049818465497,381.6998060806415
2015-01-01 04:15:00+00:00,1299.6331290323542,production,4,10.241297895925616,799.6331290323542,131.49095987381963,0.0,81.41307684288888,85.50541823323908,8885.635438114863,1.9593733828877309,0.07497244537691308,68.00200912093126,-0.5866435920103343
2015-01-01 04:30:00+00:00,1588.7487475054195,production,4,10.241297895925616,1088.7487475054195,131.49095987381963,0.0,81.41307684288888,85.50541823323908,8885.635438114863,1.9593733828877309,0.07497244537691308,68.00200912093126,-0.41316000262926295
2015-01-01 04:45:00+00:00,73.68567422887354,production,4,1.443168759921612,0.0,52.89259393164099,0.0,11.472453036982552,12.049131824134832,1252.133431392659,0.7881632379974806,-336.3660236797756,9.60502230267923,368.88901416113663
2015-01-01 05:00:00+00:00,241.88007027735918,production,4,5.164036018019227,0.0,86.13307970462614,0.0,41.05144342317243,43.11495124733277,4480.4615500607915,1.2834864383174531,-3370.721161408146,34.33532624493501,387.06009033876677
2015-01-01 05:15:00+00:00,410.06503243421577,production,4,8.541585494127428,0.0,116.30652517323165,0.0,67.90123315035656,71.31438294953767,7410.917594194915,1.7331070508518307,-8296.449786447989,56.74153061029976,401.8752636415349
2015-01-01 05:30:00+00:00,1396.6357866427556,production,4,10.241297895925616,896.6357866427556,131.49095987381963,0.0,81.41307684288888,85.50541823323908,8885.635438114863,1.9593733828877309,0.07497244537691308,68.00200912093126,-0.514202294971341
2015-01-01 05:45:00+00:00,894.6219541342149,production,4,10.241297895925616,394.6219541342149,131.49095987381963,0.0,81.41307684288888,85.50541823323908,8885.635438114863,1.9593733828877309,0.07497244537691308,68.00200912093126,-1.4246332394207277
2015-01-01 06:00:00+00:00,993.8457758700168,production,4,10.241297895925616,493.84577587001684,131.49095987381963,0.0,81.41307684288888,85.50541823323908,8885.635438114863,1.9593733828877309,0.07497244537691308,68.00200912093126,-1.0553183884382338
2015-01-01 06:15:00+00:00,1299.6331290323542,production,4,10.241297895925616,799.6331290323542,131.49095987381963,0.0,81.41307684288888,85.50541823323908,8885.635438114863,1.9593733828877309,0.07497244537691308,68.00200912093126,-0.5866435920103343
