x;y
0;0,77
0,01;0,85
0,03;0,88
0,06;0,9
0,08;0,92
0,19;0,98
0,39;1,08
0,59;1,15
0,79;1,22
0,99;1,29
1,19;1,36
1,4;1,43
1,6;1,49
1,8;1,55
2;1,6
