time,Wind_0,Wind_1,Wind_2,Wind_3,Wind_4,Wind_5,P_ac,P_in without losses [KW],P_in [KW],hydrogen production [Kg/dt],surplus electricity [kW],status,status codes,H20 [kg/dt],Oxygen [kg/dt],cooling Water [kg/dt],Heat Cell [%],heat system [%],electrolyzer {%],gasdrying {%],electronics [%],pump [%],compression [%],efficiency [%],efficency _c [%],Electrolyzer
2024-03-03 04:15:00,570.9782471059114,570.9782471059114,570.9782471059114,570.9782471059114,570.9782471059114,570.9782471059114,3425.87,3425.17,3309.46,68.73,0.0,production,4,614.0,546.37,-2449.38,5.12,-0.72,31.0,1.8,4.85,0.18,0.0,62.39,62.39,3425.17
2024-03-03 04:30:00,112.65373647909163,112.65373647909163,112.65373647909163,112.65373647909163,112.65373647909163,112.65373647909163,675.92,675.24,609.81,0.0,609.81,cold standby,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-03 04:45:00,151.26659801354182,151.26659801354182,151.26659801354182,151.26659801354182,151.26659801354182,151.26659801354182,907.6,906.92,906.92,0.0,906.92,cold standby,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-03 05:00:00,488.9546995672845,488.9546995672845,488.9546995672845,488.9546995672845,488.9546995672845,488.9546995672845,2933.73,2933.03,2933.03,0.0,2805.53,booting,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-03 05:15:00,568.0569159027028,568.0569159027028,568.0569159027028,568.0569159027028,568.0569159027028,568.0569159027028,3408.34,3407.64,3407.64,70.97,0.0,production,4,634.01,564.18,-2595.18,5.27,-0.74,31.0,1.81,4.77,0.18,0.0,62.66,62.66,3407.64
2024-03-03 05:30:00,2438.825185994957,2438.825185994957,2438.825185994957,2438.825185994957,2438.825185994957,2438.825185994957,14632.95,14632.25,14564.69,299.14,0.0,production,4,2672.38,2378.01,-33995.28,16.14,-2.26,32.0,1.78,2.34,0.3,0.0,64.04,64.04,14632.25
2024-03-03 05:45:00,2672.575853249305,2672.575853249305,2672.575853249305,2672.575853249305,2672.575853249305,2672.575853249305,16035.46,16034.76,15731.84,307.24,731.84,production,4,2744.74,2442.4,-35680.41,16.45,-2.3,32.0,1.78,2.3,0.3,0.0,63.89,63.89,15302.92
2024-03-03 06:00:00,2092.3632178801945,2092.3632178801945,2092.3632178801945,2092.3632178801945,2092.3632178801945,2092.3632178801945,12554.18,12553.48,12241.23,255.08,0.0,production,4,2278.77,2027.76,-25491.76,14.4,-2.02,31.0,1.81,2.55,0.25,0.0,64.84,64.84,12553.48
2024-03-03 06:15:00,976.8115686919476,976.8115686919476,976.8115686919476,976.8115686919476,976.8115686919476,976.8115686919476,5860.87,5860.17,5607.9,119.79,0.0,production,4,1070.15,952.27,-6609.91,8.15,-1.14,29.0,1.85,3.63,0.19,0.0,65.53,65.53,5860.17
2024-03-03 06:30:00,1981.6914990142784,1981.6914990142784,1981.6914990142784,1981.6914990142784,1981.6914990142784,1981.6914990142784,11890.15,11889.45,11775.1,246.05,0.0,production,4,2198.1,1955.97,-23890.68,14.03,-1.96,30.0,1.81,2.59,0.25,0.0,65.0,65.0,11889.45
2024-03-03 06:45:00,1250.9530142756948,1250.9530142756948,1250.9530142756948,1250.9530142756948,1250.9530142756948,1250.9530142756948,7505.72,7505.02,7262.58,155.05,0.0,production,4,1385.14,1232.57,-10458.24,9.96,-1.39,29.0,1.85,3.2,0.2,0.0,65.91,65.91,7505.02
2024-03-03 07:00:00,358.0307670502557,358.0307670502557,358.0307670502557,358.0307670502557,358.0307670502557,358.0307670502557,2148.18,2147.49,1998.72,38.3,0.0,production,4,342.15,304.47,-822.12,2.85,-0.4,36.0,1.66,6.54,0.16,0.0,55.51,55.51,2147.49
2024-03-03 07:15:00,510.17487956565,510.17487956565,510.17487956565,510.17487956565,510.17487956565,510.17487956565,3061.05,3060.35,3023.82,62.19,0.0,production,4,555.58,494.38,-2043.12,4.67,-0.65,31.0,1.78,5.04,0.17,0.0,61.56,61.56,3060.35
2024-03-03 07:30:00,358.1275067511881,358.1275067511881,358.1275067511881,358.1275067511881,358.1275067511881,358.1275067511881,2148.77,2148.08,2088.87,40.43,0.0,production,4,361.18,321.4,-913.51,3.03,-0.42,35.0,1.68,6.24,0.17,0.0,56.42,56.42,2148.08
2024-03-03 07:45:00,336.9704690379513,336.9704690379513,336.9704690379513,336.9704690379513,336.9704690379513,336.9704690379513,2021.82,2021.13,1982.58,37.92,0.0,production,4,338.76,301.44,-806.11,2.81,-0.39,36.0,1.66,6.59,0.16,0.0,55.34,55.34,2021.13
2024-03-03 08:00:00,380.2041419269361,380.2041419269361,380.2041419269361,380.2041419269361,380.2041419269361,380.2041419269361,2281.22,2280.53,2244.36,44.09,0.0,production,4,393.88,350.49,-1078.77,3.32,-0.47,35.0,1.7,5.72,0.17,0.0,57.89,57.89,2280.53
2024-03-03 08:15:00,422.992752157252,422.992752157252,422.992752157252,422.992752157252,422.992752157252,422.992752157252,2537.96,2537.27,2495.26,49.96,0.0,production,4,446.32,397.16,-1365.08,3.78,-0.53,33.0,1.74,5.45,0.17,0.0,59.37,59.37,2537.27
2024-03-03 08:30:00,215.0548356969482,215.0548356969482,215.0548356969482,215.0548356969482,215.0548356969482,215.0548356969482,1290.33,1289.64,1242.05,0.0,1242.05,cold standby,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-03 08:45:00,17.91574060067915,17.91574060067915,17.91574060067915,17.91574060067915,17.91574060067915,17.91574060067915,107.49,106.92,106.92,0.0,106.92,cold standby,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-03 09:00:00,67.5324234766743,67.5324234766743,67.5324234766743,67.5324234766743,67.5324234766743,67.5324234766743,405.19,404.52,404.52,0.0,404.52,cold standby,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-03 09:15:00,47.19612273223533,47.19612273223533,47.19612273223533,47.19612273223533,47.19612273223533,47.19612273223533,283.18,282.53,282.53,0.0,282.53,cold standby,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-03 09:30:00,1.5594170827997802,1.5594170827997802,1.5594170827997802,1.5594170827997802,1.5594170827997802,1.5594170827997802,9.36,9.21,9.21,0.0,9.21,cold standby,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-03 09:45:00,21.45674664831541,21.45674664831541,21.45674664831541,21.45674664831541,21.45674664831541,21.45674664831541,128.74,128.15,128.15,0.0,128.15,cold standby,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-03 10:00:00,21.450907995859428,21.450907995859428,21.450907995859428,21.450907995859428,21.450907995859428,21.450907995859428,128.71,128.12,128.12,0.0,128.12,cold standby,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-03 10:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cold standby,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-03 10:30:00,3.3357217214373134,3.3357217214373134,3.3357217214373134,3.3357217214373134,3.3357217214373134,3.3357217214373134,20.01,19.78,19.78,0.0,19.78,cold standby,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-03 10:45:00,14.198747323391215,14.198747323391215,14.198747323391215,14.198747323391215,14.198747323391215,14.198747323391215,85.19,84.65,84.65,0.0,84.65,cold standby,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-03 11:00:00,46.718102710853714,46.718102710853714,46.718102710853714,46.718102710853714,46.718102710853714,46.718102710853714,280.31,279.66,279.66,0.0,279.66,cold standby,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
