time,ground_temperature
10/21/2015,11.6
10/22/2015,11.55
10/23/2015,11.5
10/24/2015,11.5
10/25/2015,11.5
10/26/2015,11.4
10/27/2015,11.3
10/28/2015,11.1
10/29/2015,10.8
10/30/2015,10.7
10/31/2015,10.65
11/1/2015,10.7
11/2/2015,10.6
11/3/2015,10.35
11/4/2015,9.9
11/5/2015,9.8
11/6/2015,9.85
11/7/2015,10.15
11/8/2015,10.55
11/9/2015,10.65
11/10/2015,10.75
11/11/2015,10.75
11/12/2015,10.75
11/13/2015,10.75
11/14/2015,10.8
11/15/2015,10.8
11/16/2015,10.75
11/17/2015,10.75
11/18/2015,10.8
11/19/2015,10.75
11/20/2015,10.75
11/21/2015,10.6
11/22/2015,10.3
11/23/2015,9.9
11/24/2015,9.4
11/25/2015,8.95
11/26/2015,8.7
11/27/2015,8.65
11/28/2015,8.4
11/29/2015,8
11/30/2015,7.9
12/1/2015,7.8
12/2/2015,7.8
12/3/2015,7.95
12/4/2015,8
12/5/2015,7.9
12/6/2015,7.8
12/7/2015,7.7
12/8/2015,7.9
12/9/2015,7.95
12/10/2015,7.85
12/11/2015,7.55
12/12/2015,7.5
12/13/2015,7.3
12/14/2015,7.25
12/15/2015,7
12/16/2015,6.95
12/17/2015,7
12/18/2015,7.3
12/19/2015,7.55
12/20/2015,7.6
12/21/2015,7.65
12/22/2015,7.75
12/23/2015,7.85
12/24/2015,7.9
12/25/2015,7.8
12/26/2015,7.85
12/27/2015,7.9
12/28/2015,8.05
12/29/2015,7.95
12/30/2015,7.6
12/31/2015,7.15
