-0,64
-0,96
-1,72
-2,68
-3,31
-3,96
-4,48
-4,77
-4,74
-4,73
-4,30
-3,81
-3,92
-3,75
-3,56
-3,63
-3,72
-3,65
-3,80
-3,81
-3,64
-3,71
-3,77
-3,63
-3,49
-3,21
-3,51
-4,33
-4,34
-4,74
-5,13
-4,84
-5,18
-4,91
-3,47
-1,66
-1,09
-0,87
-1,05
-1,67
-1,55
-1,80
-1,90
-1,84
-1,87
-1,97
-2,31
-2,58
-2,81
-3,25
-4,19
-5,29
-5,76
-6,46
-6,86
-7,30
-7,27
-5,86
-3,51
-1,99
-2,05
-1,81
-1,90
-2,20
-3,83
-4,02
-4,11
-4,39
-4,67
-5,48
-5,63
-5,94
-5,89
-5,77
-5,81
-7,06
-6,68
-6,93
-6,87
-6,69
-6,84
-6,89
-6,12
-5,48
-4,45
-3,46
-3,63
-4,14
-5,87
-6,81
-7,15
-7,46
-7,47
-7,58
-7,74
-7,62
-7,82
-8,17
-8,58
-9,36
-9,15
-9,13
-9,61
-10,16
-10,83
-9,77
-8,06
-7,03
-5,71
-4,86
-4,90
-5,73
-7,18
-8,42
-9,21
-10,01
-10,11
-10,68
-11,44
-11,58
-11,87
-11,67
-11,36
-11,78
-11,54
-11,26
-11,17
-11,35
-10,72
-8,91
-6,95
-5,89
-4,56
-3,21
-2,85
-2,69
-2,82
-3,87
-5,04
-4,98
-4,48
-4,08
-3,80
-3,56
-3,40
-3,26
-3,09
-2,24
-1,32
-0,49
0,28
0,61
1,13
1,85
2,37
2,75
3,10
3,30
3,18
3,15
3,17
3,12
3,06
2,99
3,00
2,94
2,75
2,59
2,43
2,32
2,27
1,92
1,54
1,33
1,38
1,53
1,03
1,02
1,44
1,65
2,08
2,91
3,34
2,22
1,10
1,36
1,18
0,52
0,47
0,29
-0,35
-0,84
-0,90
-1,04
-1,11
-1,36
-1,51
-1,73
-2,00
-1,90
-1,61
-1,42
-1,17
-0,79
-0,01
0,34
0,71
0,65
0,65
0,88
0,96
0,99
1,11
1,23
1,39
1,33
1,32
1,45
1,63
1,69
1,72
1,74
1,62
1,56
1,62
1,63
1,26
0,99
1,07
1,12
0,75
0,33
-0,11
-0,38
-1,28
-1,80
-2,07
-2,18
-2,35
-2,49
-2,36
-2,30
-2,14
-1,89
-1,73
-1,50
-1,22
-0,95
-1,06
-0,66
-0,13
0,02
0,77
1,77
2,30
2,54
2,62
2,77
3,29
3,85
4,55
5,32
5,26
5,57
5,67
5,26
4,17
4,05
3,67
3,40
3,44
2,81
2,46
2,30
3,02
3,99
4,85
5,60
6,10
5,17
3,50
2,43
1,86
1,37
1,44
1,43
1,72
1,90
1,99
2,39
2,59
2,04
1,44
1,32
1,24
1,51
1,71
1,54
1,73
1,95
2,29
2,63
2,95
3,06
3,17
3,48
4,03
3,93
4,22
4,98
5,53
5,54
5,47
5,44
