time,thermal_energy_demand,temperature,t below t_biv,th_output_hp,th_output_hr,el_demand_hp,el_demand_hr,cop
2015-07-15 23:00:00,0.06676153880198424,19.1,False,0.06676153880198424,0.0,0.017283008072595224,0.0,3.86284254
2015-07-15 23:15:00,0.05600058387846778,19.4,False,0.05600058387846778,0.0,0.014396420990002495,0.0,3.8898962399999997
2015-07-15 23:30:00,0.04523962895495131,19.45,False,0.04523962895495131,0.0,0.011616531288724712,0.0,3.8944180349999997
2015-07-15 23:45:00,0.03447867403143484,19.7,False,0.03447867403143484,0.0,0.008802132174743063,0.0,3.9170820600000003
2015-07-16 00:00:00,0.023717719107918377,19.75,False,0.023717719107918377,0.0,0.006047930084079827,0.0,3.921625875
2015-07-16 00:15:00,0.02500672558117481,20.0,False,0.02500672558117481,0.0,0.006339804680350576,0.0,3.9443999999999995
2015-07-16 00:30:00,0.026295732054431246,19.450000000000006,False,0.026295732054431246,0.0,0.006752159582794056,0.0,3.8944180349999997
2015-07-16 00:45:00,0.02758473852768768,18.9,False,0.02758473852768768,0.0,0.007174407919953438,0.0,3.8448801399999994
2015-07-16 01:00:00,0.028873745000944112,18.65,False,0.028873745000944112,0.0,0.007553609317888709,0.0,3.822509715
2015-07-16 01:15:00,0.027455837880362037,18.8,False,0.027455837880362037,0.0,0.007157560900410743,0.0,3.8359209599999993
2015-07-16 01:30:00,0.02603793075977996,18.8,False,0.02603793075977996,0.0,0.006787921605084366,0.0,3.8359209599999993
2015-07-16 01:45:00,0.02462002363919788,18.7,False,0.02462002363919788,0.0,0.006433283271148702,0.0,3.82697646
2015-07-16 02:00:00,0.023202116518615805,18.6,False,0.023202116518615805,0.0,0.006076959950027171,0.0,3.8180466399999995
2015-07-16 02:15:00,0.02797144046966461,18.6,False,0.02797144046966461,0.0,0.007326112828643867,0.0,3.8180466399999995
2015-07-16 02:30:00,0.032740764420713414,18.3,False,0.032740764420713414,0.0,0.008635658895574553,0.0,3.79134526
