relative Leistung [%];Energieverbrauch [kWh/Nm3]
20;4,92
25;4,88
30;4,84
35;4,8
40;4,8
45;4,8
50;4,81
55;4,82
60;4,84
65;4,85
70;4,86
75;4,87
80;4,88
85;4,89
90;4,89
95;4,89
100;4,9
