x;y
0;0,05
0,1;0,26
0,2;0,4
0,3;0,53
0,4;0,62
0,5;0,73
0,6;0,8
0,7;0,89
0,8;0,98
1;1,13
1,4;1,43
1,6;1,56
1,8;1,7
2;1,85
