x;y
0;0,6
0,01;0,67
0,02;0,711
0,04;0,745
0,06;0,788
0,1;0,84
0,14;0,89
0,18;0,93
0,298;1,04
0,5;1,2
0,7;1,36
0,9;1,5
1,1;1,65
1,3;1,8
1,6;2,01
